message,timestamp,iss_position.longitude,iss_position.latitude
success,2026-02-17 20:20:22,-164.7715,48.1751
success,2026-02-17 20:24:40,-145.3675,40.0704
success,2026-02-17 20:26:00,-140.4626,36.9319
success,2026-02-17 20:26:21,-139.2415,36.0662
success,2026-02-17 20:26:42,-138.0490,35.1865
success,2026-02-17 20:27:07,-136.6382,34.1007
success,2026-02-17 20:27:19,-136.0149,33.6050
success,2026-02-17 20:28:17,-132.9849,31.0526
success,2026-02-17 20:28:28,-132.4306,30.5594
success,2026-02-17 20:30:28,-126.7710,25.0410
